rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names
21,Anthony Kay,641743,CWS,L,TEX,CWS@TEX,7:05 PM CT,2026-07-23T00:05:00Z,ok,official,4.925925925925926,22,2.4444444444444446,season_avg,20.261946382290084,23.258760641892056,4.48566616107653,4.666427849156947,1.8235751744061077,9,9,1.0,22,,22,3.664285951414902,1.2535715096945719,7.328571902829804,4.945713767703633,high,"elev_bb,elev_hr,high_xfip",3.6666666666666665,7.425000000000001,4.444444444444444,4.063888888888889,0.3,445,1273,"694671,679822,669394,607043,677649,695508,553869,696030,670032",Wyatt Langford; Justin Foscue; Jake Burger; Brandon Nimmo; Ezequiel Duran; Cam Cauley; Elias Díaz; Alejandro Osuna; Nicky Lopez
22,Griffin Jax,643377,TB,R,TOR,TB@TOR,6:07 PM CT,2026-07-22T23:07:00Z,ok,official,5.0,21,2.3333333333333335,season_avg,18.454322310393685,22.455715206053394,4.484181091738181,3.691687273911688,1.6608890079354317,9,9,1.0,21,,21,3.120000119018559,1.5600000595092796,9.240000352478042,3.6111508026782353,medium,high_hr,6.333333333333333,11.4,5.0,6.333333333333333,0.3,714,430,"676391,664770,665489,543807,682818,672386,662139,815873,665926",Ernie Clement; Nathan Lukes; Vladimir Guerrero Jr.; George Springer; Yohendrick Piñango; Alejandro Kirk; Daulton Varsho; Sean Keys; Andrés Giménez
23,Michael King,650633,SD,R,ATL,SD@ATL,6:15 PM CT,2026-07-22T23:15:00Z,ok,official,5.383333333333333,22,2.4444444444444446,season_avg,20.84038955860778,21.39801814490613,4.357744004090269,4.461062862986099,1.8756350602747,9,9,1.0,22,,22,3.573529572140394,0.8735294509676519,7.623529753899507,4.514445631299988,medium,"elev_bb,elev_xfip",4.333333333333333,6.882352941176471,5.666666666666667,4.116666666666666,0.3,1087,741,"686948,645277,621566,671739,663586,573262,643289,805347,676551",Drake Baldwin; Ozzie Albies; Matt Olson; Michael Harris II; Austin Riley; Mike Yastrzemski; Mauricio Dubón; Jim Jarvis; Brewer Hicklen
24,Bubba Chandler,696149,PIT,R,NYY,PIT@NYY,6:05 PM CT,2026-07-22T23:05:00Z,ok,official,4.716666666666667,21,2.3333333333333335,season_avg,21.95174234345869,24.660022156715414,4.3189528156563455,4.552789736651922,1.9756568109112822,9,9,1.0,21,,21,5.247349841004462,0.9540636074553568,8.109540663370533,5.124501550406379,high,"high_bb,high_xfip",4.0,7.2,5.0,3.7733333333333334,0.3,884,747,"663757,700250,502671,641355,665862,691176,683011,641857,645305",Trent Grisham; Ben Rice; Paul Goldschmidt; Cody Bellinger; Jazz Chisholm Jr.; Jasson Domínguez; Anthony Volpe; Ryan McMahon; Ali Sánchez
25,Kyle Bradish,680694,BAL,R,BOS,BAL@BOS,6:10 PM CT,2026-07-22T23:10:00Z,ok,official,5.08421052631579,22,2.4444444444444446,season_avg,20.034481502134476,22.42353894667002,4.158190679579878,4.5140523037060465,1.8031033351921026,9,9,1.0,22,,22,4.192546782525425,1.0062112278061022,8.888199178953903,3.992236933167769,medium,high_bb,4.0,5.89090909090909,6.111111111111112,3.3278468899521525,0.3,1051,725,"678011,678882,677800,575929,807799,702332,680776,655316,665966",Anthony Seigler; Ceddanne Rafaela; Wilyer Abreu; Willson Contreras; Masataka Yoshida; Caleb Durbin; Jarren Duran; Andruw Monasterio; Carlos Narváez
26,Landen Roupp,694738,SF,R,KC,SF@KC,1:10 PM CT,2026-07-22T18:10:00Z,ok,official,5.225,22,2.4444444444444446,season_avg,20.136220324696595,20.959222606631904,4.098386616057977,4.361980880082824,1.8122598292226935,9,9,1.0,22,,22,3.894230769230769,0.6057692307692307,9.173076923076923,3.74116127654337,low,elev_bb,4.666666666666667,6.0,7.0,3.483333333333333,0.3,1083,750,"695600,657041,686469,521692,686681,686555,516782,668942,623205",Carter Jensen; Lane Thomas; Vinnie Pasquantino; Salvador Perez; Michael Massey; Isaac Collins; Starling Marte; Josh Rojas; Andrew Velazquez
27,Slade Cecconi,677944,CLE,R,MIN,MIN@CLE,5:40 PM CT,2026-07-22T22:40:00Z,ok,official,5.2105263157894735,23,2.5555555555555554,season_avg,17.3862450672204,21.66519779854187,4.045746484641931,4.104825805127572,1.5647620560498359,9,9,1.0,23,,23,2.8181818181818183,1.1818181818181819,7.0,4.34056297068042,low,elev_xfip,3.6666666666666665,6.75,4.888888888888888,3.9078947368421053,0.3,938,671,"663616,686797,665019,605137,668904,605170,702176,807712,656577",Trevor Larnach; Brooks Lee; Kody Clemens; Josh Bell; Royce Lewis; Victor Caratini; Alan Roden; Luke Keaschall; Alex Jackson
28,Martín Pérez,527048,ATL,L,SD,SD@ATL,6:15 PM CT,2026-07-22T23:15:00Z,ok,official,5.519047619047619,23,2.5555555555555554,season_avg,20.602029993221684,26.269632204626415,3.9639929447481372,4.59845930882387,1.8541826993899517,9,9,1.0,23,,23,3.540983620397316,1.1065573813741614,6.8606557645198,4.2377063694187225,medium,"elev_bb,elev_xfip",2.0,4.050000000000001,4.444444444444444,2.483571428571429,0.3,419,863,"665487,650859,592518,664034,701538,669134,593428,630105,687749",Fernando Tatis Jr.; Luis Rengifo; Manny Machado; Ty France; Jackson Merrill; Luis Campusano; Xander Bogaerts; Jake Cronenworth; Jase Bowen
29,Logan Henderson,701656,MIL,R,NYM,NYM@MIL,1:10 PM CT,2026-07-22T18:10:00Z,ok,official,4.791666666666667,18,2.0,season_avg,18.337711435975528,23.448247987117554,3.9043016409329168,3.300788058475595,1.6503940292377977,9,9,1.0,18,,18,1.890000072097781,0.810000030899049,10.260000391387955,3.2573038227047952,clear,,5.666666666666667,9.978260869565219,5.111111111111111,5.312500000000001,0.3,353,150,"805999,596019,666182,701807,593871,676724,543760,683146,682626",A.J. Ewing; Francisco Lindor; Bo Bichette; Carson Benge; Jorge Polanco; Jared Young; Marcus Semien; Brett Baty; Francisco Alvarez
30,Merrill Kelly,518876,AZ,R,ATH,ATH@AZ,2:40 PM CT,2026-07-22T19:40:00Z,ok,official,5.4712962962962965,24,2.6666666666666665,season_avg,15.932237537619082,21.965999465386847,3.7280745455336053,3.6706387065045902,1.4339013783857175,9,9,1.0,24,,24,3.6486487426925027,1.9155405899135638,5.655405551173379,5.1424616322483185,high,"elev_bb,high_hr,high_xfip",4.0,6.352941176470588,5.666666666666667,3.8620915032679735,0.3,914,650,"805779,691016,669127,666126,622268,695720,643446,671732,641680",Jacob Wilson; Tyler Soderstrom; Shea Langeliers; Carlos Cortes; Donovan Walton; Tommy White; Jeff McNeil; Lawrence Butler; Jonah Heim
,Dean Kremer,665152,BAL,R,BOS,BAL@BOS,12:35 PM CT,2026-07-22T17:35:00Z,missing_arsenal,official,5.333333333333333,22,2.4444444444444446,season_avg,,,,,,9,0,,0,,22,2.423076923076923,3.1153846153846154,10.038461538461538,3.4619368628813674,medium,high_hr,4.666666666666667,8.4,5.0,,,280,148,,
,Eduardo Rivera,700842,BOS,L,BAL,BAL@BOS,6:10 PM CT,2026-07-22T23:10:00Z,missing_arsenal,official,4.908333333333333,20,2.216666666666667,season_shrunk,,,,,,9,0,,0,,20,3.8571433826369397,0.9642858456592349,8.678572610933115,3.783968974800993,low,elev_bb,3.0,9.0,3.0,,,77,92,,
,Gabriel Hughes,687312,COL,R,WSH,WSH@COL,2:10 PM CT,2026-07-22T19:10:00Z,missing_arsenal,official,6.066666666666666,25,2.7777777777777777,season_shrunk,,,,,,9,0,,0,,25,3.1395349533510197,0.0,8.790697869382855,3.5968058923623376,clear,,6.0,9.918367346938776,5.444444444444444,,,130,99,,
,Hunter Dobbins,690928,STL,R,LAA,STL@LAA,3:07 PM CT,2026-07-22T20:07:00Z,missing_arsenal,official,6.09,25,2.8,season_shrunk,,,,,,9,0,,0,,25,4.029850975711366,1.2089552927134097,9.268657244136142,3.769676221000827,medium,"high_bb,elev_hr",4.666666666666667,8.217391304347826,5.111111111111111,,,233,165,,
