rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,offense_source,offense_factor,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source
11,David Peterson,656849,CHC,L,STL,CHC@STL,6:45 PM CT,2026-07-27T23:45:00Z,ok,prior:2026-07-26,6.4125,28,3.111111111111111,season_start_est,starter,17.174571734510003,23.194226562974283,4.543809899429471,4.878074701048313,1.5457114561059004,9,9,1.0,28,,28,3.8426968762706504,0.9101124180641015,7.483146548527056,4.362174551277868,medium,"elev_bb,elev_xfip",0.95,,3.0,5.282608695652174,5.111111111111112,3.763858695652173,0.3,23.423423423423422,0.22010469580583653,recent,1.0243117866761593,435,1033,"802139,691023,671056,676475,691026,665877,676369,691458,686780",JJ Wetherholt; Jordan Walker; Iván Herrera; Alec Burleson; Masyn Winn; José Fermín; Nelson Velázquez; Blaze Jordan; Pedro Pagés,
12,Walbert Ureña,700712,LAA,R,HOU,HOU@LAA,8:38 PM CT,2026-07-28T01:38:00Z,ok,prior:2026-07-26,4.8,21,2.3333333333333335,season_start_est,starter,23.06499740694717,23.26403963435925,4.305900572246203,4.312988659439864,2.0758497666252453,9,9,1.0,21,,21,4.843511626684452,0.5152671943281332,8.553435425847011,4.363295941940333,medium,"high_bb,elev_xfip",0.9,,4.666666666666667,8.042553191489361,5.222222222222222,4.2893617021276595,0.3,17.91044776119403,0.2573595602549306,recent,0.9404223911135194,827,683,"665161,670541,670623,514888,664774,673237,666211,701358,701305",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Jose Altuve; LaMonte Wade; Yainer Diaz; Taylor Trammell; Cam Smith; Zach Dezenzo,
13,Tatsuya Imai,837227,HOU,R,LAA,HOU@LAA,8:38 PM CT,2026-07-28T01:38:00Z,ok,prior:2026-07-26,3.4675714285714294,15,1.6666666666666667,season_avg,starter,26.623181263258843,30.053419983130127,4.305390966956719,4.394256112350043,2.3960863136932957,9,9,1.0,15,,15,5.586207263960165,1.3965518159900412,11.017242103921436,4.210916788438977,high,"high_bb,elev_hr,elev_xfip,short_recent_ip",0.8370000000000001,short_recent_ip,4.333333333333333,10.636363636363637,3.6666666666666665,4.098038961038962,0.3,27.556818181818183,0.23178883516802176,recent,1.065419549748497,721,397,"687263,545361,687093,624585,694384,666176,694203,642350,681351",Zach Neto; Mike Trout; Vaughn Grissom; Jorge Soler; Nolan Schanuel; Jo Adell; Denzer Guzman; Jose Siri; Logan O'Hoppe,
14,Kyle Bradish,680694,BAL,R,DET,BAL@DET,5:40 PM CT,2026-07-27T22:40:00Z,ok,official,5.1,22,2.4444444444444446,season_avg,starter,21.438786330985028,22.98081491578028,4.247512380650544,4.562956796713894,1.9294907697886527,9,9,1.0,22,,22,4.050000181759113,0.9529412192374384,8.73529450967652,4.005673591294094,medium,high_bb,0.9,,4.666666666666667,6.196721311475409,6.777777777777779,3.5114754098360645,0.3,22.397476340694006,0.268159979728815,recent,0.9860829890671328,1093,772,"805808,693307,690993,682985,679529,656716,701678,681546,663837",Kevin McGonigle; Dillon Dingler; Colt Keith; Riley Greene; Spencer Torkelson; Zach McKinstry; Hao-Yu Lee; James Outman; Matt Vierling,
15,Zac Thornton,804267,NYM,L,ATL,ATL@NYM,6:10 PM CT,2026-07-27T23:10:00Z,ok,official,5.766666666666667,22,2.4444444444444446,season_shrunk,starter,19.669103369209374,23.04118748413303,4.16539017392372,4.1295047597406525,1.7702193032288438,9,9,1.0,22,,22,2.314285840404284,0.38571430673404733,6.557143214478804,4.198187196987011,clear,,1.0,,4.666666666666667,6.631578947368421,6.333333333333333,4.249122807017544,0.3,20.844327176781004,0.280653340096697,recent,0.9613504254797982,107,214,"660670,686948,621566,645277,671739,643289,663586,663698,805347",Ronald Acuña Jr.; Drake Baldwin; Matt Olson; Ozzie Albies; Michael Harris II; Mauricio Dubón; Austin Riley; Joey Bart; Jim Jarvis,statcast_fallback
16,Chase Burns,695505,CIN,R,CLE,CLE@CIN,6:10 PM CT,2026-07-27T23:10:00Z,ok,prior:2026-07-26,5.666666666666667,23,2.5555555555555554,season_avg,starter,19.542577210833507,21.802852696379155,4.12789106513114,4.075558664473057,1.7588319489750157,9,9,1.0,23,,23,3.260061996508666,1.0030959989257435,10.365325322232682,3.587675334669944,clear,,1.0,,4.0,6.75,5.333333333333333,4.25,0.3,18.69688385269122,0.261446852771035,recent,0.9472183952818798,1102,666,"680757,608070,800050,677587,683953,682657,700932,595978,690984",Steven Kwan; José Ramírez; Chase DeLauter; Brayan Rocchio; Travis Bazzana; Angel Martínez; Kyle Manzardo; Austin Hedges; Petey Halpin,
17,Tyler Mahle,641816,SF,R,MIL,MIL@SF,8:45 PM CT,2026-07-28T01:45:00Z,ok,prior:2026-07-26,4.928125,21,2.3333333333333335,season_avg,starter,19.430207801908033,23.213433373253665,3.9601740380436157,3.9763692525987517,1.748718702171723,9,9,1.0,21,,21,3.5783132530120483,1.4096385542168675,8.349397590361447,4.238139704300696,medium,"elev_bb,elev_hr,elev_xfip",0.95,,4.333333333333333,7.163265306122449,5.444444444444444,3.9223852040816323,0.3,20.364741641337385,0.2728359042081314,recent,0.9601347815609077,763,628,"694192,668930,683734,661388,641343,596142,800325,806198,687401",Jackson Chourio; Brice Turang; Andrew Vaughn; William Contreras; Jake Bauers; Gary Sánchez; Luis Lara; Cooper Pratt; Joey Ortiz,
18,Mitch Keller,656605,PIT,R,AZ,AZ@PIT,5:40 PM CT,2026-07-27T22:40:00Z,ok,official,5.416666666666666,23,2.5555555555555554,season_avg,starter,18.176787449826328,20.088078747123124,3.8225257733060487,3.8025878394168044,1.6359108704843695,9,9,1.0,23,,23,3.073846298163607,1.0800000507061323,6.895384939123767,4.578548764597918,low,elev_xfip,1.0,,3.3333333333333335,6.428571428571429,4.666666666666667,3.8690476190476186,0.3,17.663817663817664,0.2711948559364867,recent,0.9299999999999999,1118,617,"682998,672695,672515,606466,596146,682988,680728,545121,814439",Corbin Carroll; Geraldo Perdomo; Gabriel Moreno; Ketel Marte; Max Kepler; Tyler Locklear; Adrian Del Castillo; Ildemaro Vargas; Ryan Waldschmidt,
19,Noah Schultz,702273,CWS,L,NYY,NYY@CWS,6:40 PM CT,2026-07-27T23:40:00Z,ok,prior:2026-07-26,4.1225000000000005,18,2.0,season_avg,starter,21.25476561779429,23.561156445626896,3.67761591552169,4.090243990814957,1.912928905601486,9,9,1.0,18,,18,4.605882559647619,1.4294118288561577,7.78235329043908,5.289470230798236,high,"high_bb,elev_hr,high_xfip,exit_xfip_bb",0.873,exit_xfip_bb,3.0,5.926829268292683,4.555555555555555,2.714817073170732,0.3,25.838926174496645,0.18916832541587825,recent,1.0691050720279784,198,787,"502671,700250,642708,691176,683011,663757,680474,676609,645305",Paul Goldschmidt; Ben Rice; Amed Rosario; Jasson Domínguez; Anthony Volpe; Trent Grisham; Max Schuemann; José Caballero; Ali Sánchez,
20,Brandon Sproat,687075,MIL,R,SF,MIL@SF,8:45 PM CT,2026-07-28T01:45:00Z,ok,prior:2026-07-26,4.083921568627451,17,1.8888888888888888,season_start_est,starter,18.287358113340535,20.448076011979154,3.3936343716555895,3.197811407287097,1.645862230200648,9,9,1.0,17,,17,4.465384942963302,1.6615385834282055,9.450000693247919,4.331284649817108,high,"high_bb,high_hr,elev_xfip,short_recent_ip,exit_hr",0.82,"short_recent_ip,exit_hr",3.6666666666666665,8.485714285714284,3.8888888888888893,3.8505546218487385,0.3,26.21951219512195,0.22857843131773514,recent,1.051806253019148,829,701,"650333,671218,805811,646240,669477,687551,642715,701852,687529",Luis Arraez; Heliot Ramos; Bryce Eldridge; Rafael Devers; Casey Schmitt; Drew Gilbert; Willy Adames; Drew Cavanaugh; Grant McCray,
21,Martín Pérez,527048,ATL,L,NYM,ATL@NYM,6:10 PM CT,2026-07-27T23:10:00Z,ok,prior:2026-07-26,5.15111111111111,21,2.3333333333333335,season_start_est,starter,18.547935407394633,20.81802312226375,3.2920387664038073,3.875055380576868,1.6693141866655168,9,9,1.0,21,,21,3.7968750141444616,1.0546875039290171,6.855468775538611,4.287951537184121,medium,"elev_bb,elev_xfip",0.95,,1.6666666666666667,3.3750000000000004,4.444444444444444,1.9316666666666664,0.3,25.816023738872403,0.2443645880470766,recent,1.0384837495711405,435,922,"805999,596019,666182,701807,593871,676724,621438,683146,620443",A.J. Ewing; Francisco Lindor; Bo Bichette; Carson Benge; Jorge Polanco; Jared Young; Tyrone Taylor; Brett Baty; Luis Torrens,
22,Eddy Yean,678868,WSH,R,TOR,TOR@WSH,5:45 PM CT,2026-07-27T22:45:00Z,ok,prior:2026-07-26,5.5,23,2.5555555555555554,default,starter,15.56703073469499,18.03818466353677,3.204566793555897,3.204566793555897,1.4010327661225492,9,9,1.0,23,,23,3.375000201165688,0.0,6.750000402331376,3.884937817567991,clear,,1.0,,,,,,,17.771084337349397,0.25286458178024446,recent,0.9412919499003836,55,19,"664770,665489,672386,543807,662139,672960,676391,665926,676914",Nathan Lukes; Vladimir Guerrero Jr.; Alejandro Kirk; George Springer; Daulton Varsho; Kazuma Okamoto; Ernie Clement; Andrés Giménez; Davis Schneider,statcast_fallback
23,Max Scherzer,453286,TOR,R,WSH,TOR@WSH,5:45 PM CT,2026-07-27T22:45:00Z,ok,official,3.0066666666666664,14,1.5555555555555556,season_avg,starter,20.839312243170312,26.307492988298296,2.4477684893556404,2.9445672296917316,1.8755381018853283,9,9,1.0,14,,14,4.5,3.6818181818181817,5.7272727272727275,6.330268972705712,high,"high_bb,high_hr,high_xfip,short_recent_ip,exit_hr,exit_xfip_bb",0.82,"short_recent_ip,exit_hr,exit_xfip_bb",1.6666666666666667,3.8571428571428568,3.8888888888888893,1.2885714285714285,0.3,20.058997050147493,0.26722703968052197,recent,0.959703594252409,283,142,"695578,671277,677588,682928,686611,695734,660688,678391,683083",James Wood; Luis García Jr.; José Tena; CJ Abrams; Dylan Crews; Daylen Lile; Keibert Ruiz; Jorbit Vivas; Nasim Nuñez,statcast_fallback
