rank,pitcher,pitcher_id,team,opponent,game,expected_ks,expected_ks_model,expected_k_pct,arsenal_abs_grade,arsenal_matchup_rank,matchup_grade,ticket_outlook,actual_ks,actual_ip,actual_bf,err,abs_err,outing_role,outing_risk,lineup_source,k9,status
16,Andrew Painter,691725,PHI,BAL,None@None,4.495346023239409,4.6379705347552,24.98699415554343,elite,4,elite,,6,6.0,23,1.5046539767605909,1.5046539767605909,starter,high,official,7.338461969138628,Final
17,Zebby Matthews,805673,MIN,SEA,None@None,4.441797677729764,5.049249429723839,21.863842685910743,avg,17,avg,FILLER,10,5.0,22,5.558202322270236,5.558202322270236,starter,medium,official,6.9868421052631575,Final
18,Ranger Suarez,624133,BOS,LAD,None@None,4.285507078693328,2.8535815409904695,13.701100481668744,soft,30,soft,,2,4.2,18,-2.2855070786933283,2.2855070786933283,starter,clear,official,9.72377674256314,Final
19,Foster Griffin,656492,WSH,ATL,None@None,4.2352972151819275,5.386315974462966,23.764437045436452,strong,8,strong,,3,5.1,25,-1.2352972151819275,1.2352972151819275,starter,low,official,8.201612903225806,Final
20,Carson Whisenhunt,687931,SF,SD,None@None,4.180362261380011,4.365838367320988,24.354428870044593,elite,6,elite,,3,3.1,20,-1.1803622613800107,1.1803622613800107,starter,high,official,7.468085409451968,Final
21,Ryan Johnson,696270,LAA,MIL,None@None,4.052847582359668,4.401114671228097,23.081451425870114,strong,12,avg,,3,4.1,22,-1.052847582359668,1.052847582359668,starter,high,official,7.344000448242215,Final
22,Hunter Brown,686613,HOU,TEX,None@None,4.031952614980865,4.049689719514443,19.399011378453974,soft,22,soft,,5,5.2,23,0.9680473850191351,0.9680473850191351,starter,medium,official,9.574468085106384,Final
23,Jeffrey Springs,605488,ATH,DET,None@None,3.9094593600601337,4.507945004167539,24.029711816000237,elite,7,elite,,2,4.0,20,-1.9094593600601337,1.9094593600601337,starter,high,official,7.4423076923076925,Final
24,Kodai Senga,673540,NYM,MIA,None@None,3.765147276418979,2.982402513110857,16.241657730199805,soft,29,soft,,4,4.0,16,0.23485272358102094,0.23485272358102094,starter,high,official,10.84426322754794,Final
25,Nick Martinez,607259,TB,CWS,None@None,3.755715959367203,4.344017925744305,18.926576399417847,soft,24,soft,FILLER,2,6.0,24,-1.755715959367203,1.755715959367203,starter,low,official,5.139204768233072,Final
26,Tanner Bibee,676440,CLE,AZ,None@None,3.676348384933268,3.4236973235812598,17.432688273118597,soft,27,soft,FILLER,3,7.1,27,-0.6763483849332679,0.6763483849332679,starter,medium,official,6.984,Final
27,Mitch Bratt,683352,AZ,CLE,None@None,2.322859996147197,2.558007786703788,19.225627351610015,soft,23,soft,FILLER,2,5.0,21,-0.32285999614719696,0.32285999614719696,starter,high,official,5.744681084193822,Final
28,Tyler Holton,663947,DET,ATH,None@None,1.5064445664158084,1.4645557080197604,20.566408022852467,avg,19,avg,FILLER,1,2.0,8,-0.5064445664158084,0.5064445664158084,opener_likely,low,official,7.0352128740581845,Final
29,Edgardo Henriquez,683618,LAD,BOS,None@None,0.8135224261629175,0.8135224261629175,17.78088977497461,soft,26,soft,,1,1.0,4,0.18647757383708252,0.18647757383708252,opener_likely,medium,official,9.000001634870554,Final
30,Bradgley Rodriguez,699134,SD,SF,None@None,0.7957301693023374,0.7470306725641067,16.24889491850276,soft,28,soft,,2,1.0,3,1.2042698306976627,1.2042698306976627,opener_likely,low,official,9.129498156718716,Final
