batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Nasim Nuñez,683083,7,S,WSH,Shota Imanaga,CHC,L,CHC@WSH,5:45 PM CT,prior:2026-08-09,0.22772277227722773,vs_lhp,0.4,21.3,0.271,0.222,38.24258972772277,35.93332611386138,False,20.015947823579904,232
Andrés Giménez,665926,6,L,TOR,Patrick Sandoval,BOS,L,BOS@TOR,6:07 PM CT,prior:2026-08-10,0.20212765957446807,vs_lhp,3.5,23.6,0.267,0.231,37.690265957446805,37.2413829787234,False,7.2432478712308725,233
Carlos Narváez,665966,9,R,BAL,Bailey Ober,MIN,R,BAL@MIN,6:40 PM CT,prior:2026-08-10,0.1643835616438356,vs_rhp,7.3,36.6,0.271,0.199,37.66648116438356,40.10355308219178,False,37.310948619885984,234
Taylor Walls,670764,8,S,TB,Mason Barnett,ATH,R,TB@ATH,8:40 PM CT,prior:2026-08-10,0.2265193370165746,vs_rhp,2.4,21.5,0.246,0.184,37.15849620165746,34.40940435082873,False,33.18762567285716,235
Ke'Bryan Hayes,663647,9,R,CIN,Sean Burke,CWS,R,CIN@CWS,6:40 PM CT,prior:2026-08-09,0.12195121951219512,vs_rhp,7.7,38.5,0.299,0.245,36.27730945121951,41.91287347560976,False,14.913031321728843,236
Kyle Isbel,664728,9,L,KC,Blake Snell,LAD,L,KC@LAD,9:10 PM CT,prior:2026-08-10,0.16666666666666666,vs_lhp,2.7,35.1,0.27,0.235,36.245104166666664,38.194895833333334,False,21.124977348233163,237
Héctor Rodríguez,699302,6,L,CIN,Sean Burke,CWS,R,CIN@CWS,6:40 PM CT,prior:2026-08-09,0.18181818181818182,vs_rhp,0.0,27.3,0.265,0.211,34.20454545454545,34.20454545454545,True,5.200993938118947,238
Sean Murphy,669221,9,R,ATL,Nolan McLean,NYM,R,NYM@ATL,6:15 PM CT,prior:2026-08-10,0.17647058823529413,vs_rhp,0.0,38.5,0.144,0.15,32.867647058823536,32.867647058823536,True,29.41867469879518,239
Edgar Quero,700337,7,S,CWS,Nick Lodolo,CIN,L,CIN@CWS,6:40 PM CT,prior:2026-08-09,0.13432835820895522,vs_lhp,2.1,36.9,0.273,0.22,32.823773320895526,36.30798041044776,False,19.812748680470968,240
Josh Smith,669701,8,L,TOR,Patrick Sandoval,BOS,L,BOS@TOR,6:07 PM CT,prior:2026-08-10,0.12,vs_lhp,6.8,29.7,0.272,0.203,31.769687500000003,36.0253125,False,30.98952380952381,241
Rafael Flores Jr.,804668,7,R,PIT,Eury Pérez,MIA,R,PIT@MIA,5:40 PM CT,prior:2026-08-09,0.16666666666666666,vs_rhp,11.1,38.9,0.377,0.245,30.416666666666664,30.416666666666664,True,23.36957746478873,242
Nathan Lukes,664770,1,L,TOR,Patrick Sandoval,BOS,L,BOS@TOR,6:07 PM CT,prior:2026-08-10,0.1111111111111111,vs_lhp,1.3,27.7,0.282,0.252,29.47142361111111,33.955243055555556,False,20.7162962962963,243
Grant McCray,687529,8,L,SF,Hunter Brown,HOU,R,HOU@SF,8:45 PM CT,prior:2026-08-10,0.07142857142857142,vs_rhp,11.1,25.9,0.296,0.2,29.13379464285714,36.55549107142857,False,17.86147139811689,244
Garrett Stubbs,596117,9,L,PHI,Andre Pallante,STL,R,PHI@STL,6:45 PM CT,prior:2026-08-10,0.1388888888888889,vs_rhp,0.0,31.3,0.232,0.197,28.92607638888889,30.682256944444447,False,6.510480887792848,245
Sung-Mun Song,823550,9,L,SD,Kyle Harrison,MIL,L,MIL@SD,8:40 PM CT,prior:2026-08-10,0.1111111111111111,vs_lhp,4.4,24.4,0.266,0.188,28.06361111111111,31.888055555555557,False,19.50710512791229,246
Christian Koss,683766,9,R,SF,Hunter Brown,HOU,R,HOU@SF,8:45 PM CT,prior:2026-08-10,0.13636363636363635,vs_rhp,2.1,22.9,0.208,0.19,26.88042613636364,28.11911931818182,False,15.836815141787053,247
Carson Williams,700246,9,R,TB,Mason Barnett,ATH,R,TB@ATH,8:40 PM CT,prior:2026-08-10,0.15,vs_rhp,0.0,20.8,0.177,0.146,24.460625,23.666875,False,31.634920634920633,248
Jorge Polanco,593871,8,S,NYM,Martín Pérez,ATL,L,NYM@ATL,6:15 PM CT,prior:2026-08-10,0.07692307692307693,vs_lhp,4.4,30.0,0.232,0.181,24.191057692307695,29.417403846153846,False,29.24767992867166,249
César Prieto,693409,9,L,STL,Cristopher Sánchez,PHI,L,PHI@STL,6:45 PM CT,prior:2026-08-10,0.0,vs_lhp,4.5,31.8,0.24,0.214,18.05125,27.698750000000004,False,18.003913894324853,250
Abimelec Ortiz,694673,2,L,WSH,Shota Imanaga,CHC,L,CHC@WSH,5:45 PM CT,prior:2026-08-09,0.0,vs_lhp,16.7,50.0,0.394,0.283,-11.25,-11.25,True,18.46435100548446,251
Kaelen Culpepper,701785,7,R,MIN,Brandon Young,BAL,R,BAL@MIN,6:40 PM CT,prior:2026-08-10,0.0,vs_rhp,20.0,20.0,0.291,0.124,-11.25,-11.25,True,57.633836858006035,252
