rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names
21,Brandon Sproat,687075,MIL,R,NYM,NYM@MIL,ok,official,4.394117647058824,19,2.111111111111111,season_avg,17.22651064228163,19.98972603764551,3.8365132830993334,3.362140824595687,1.5503859578053467,9,9,1.0,19,,19,4.2804880040093405,1.6463415400035923,9.548780932020836,4.264263555358138,high,"high_bb,high_hr,elev_xfip",3.0,10.125,2.6666666666666665,4.9433823529411764,0.3,764,667,"805999,665742,666182,596019,701807,673357,676724,543760,620443",A.J. Ewing; Juan Soto; Bo Bichette; Francisco Lindor; Carson Benge; Luis Robert Jr.; Jared Young; Marcus Semien; Luis Torrens
22,Tatsuya Imai,837227,HOU,R,MIA,MIA@HOU,ok,official,3.6,16,1.7777777777777777,season_avg,19.321678401494797,23.47775311716198,3.7293234725934754,3.2237088569517187,1.7389510561345318,9,9,1.0,16,,16,5.711538880534457,1.5576924219639428,10.9038469537476,4.241627935301086,high,"high_bb,high_hr,elev_xfip",5.0,12.272727272727273,3.6666666666666665,4.90909090909091,0.3,656,366,"672640,669065,681715,669364,689414,665052,805300,691594,691788",Otto Lopez; Kyle Stowers; Heriberto Hernández; Xavier Edwards; Liam Hicks; Griffin Conine; Jakob Marsee; Javier Sanoja; Joe Mack
23,Michael Lorenzen,547179,COL,R,WSH,WSH@COL,ok,official,4.607499999999999,22,2.4444444444444446,season_avg,19.10195106062318,23.647685579851196,3.624548081179351,4.2764584389518685,1.7191755954560861,9,9,1.0,22,,22,3.5257734731908954,1.2989691743334877,6.773196409024615,4.760472566029994,medium,"elev_bb,elev_hr,elev_xfip",2.3333333333333335,4.108695652173913,5.111111111111111,2.103423913043478,0.3,951,809,"695578,671277,677588,682928,678554,695734,660688,683083,696285",James Wood; Luis García Jr.; José Tena; CJ Abrams; Curtis Mead; Daylen Lile; Keibert Ruiz; Nasim Nuñez; Jacob Young
24,Walker Buehler,621111,SD,R,ATL,SD@ATL,ok,official,4.338333333333333,19,2.111111111111111,season_avg,20.54040076338812,22.78010875900254,3.5573114326398656,3.8866183731589925,1.8486360687049308,9,9,1.0,19,,19,3.539325842696629,1.2134831460674158,8.191011235955056,4.125981437222341,medium,"elev_bb,elev_hr",2.0,5.785714285714286,3.111111111111111,2.788928571428571,0.3,804,736,"686948,645277,621566,663586,671739,643289,573262,676551,805347",Drake Baldwin; Ozzie Albies; Matt Olson; Austin Riley; Michael Harris II; Mauricio Dubón; Mike Yastrzemski; Brewer Hicklen; Jim Jarvis
25,Drew Rasmussen,656876,TB,R,TOR,TB@TOR,ok,official,5.333333333333333,21,2.3333333333333335,season_avg,15.14042155221925,18.823480716200812,3.3170422070849526,3.0243460101213615,1.3626379396997326,9,9,1.0,21,,21,1.5402685352437337,1.0872483778191062,8.879195085522701,3.2572659830992756,clear,,2.3333333333333335,6.75,3.111111111111111,4.0,0.3,958,586,"664770,665489,676391,543807,662139,672960,678218,665926,664702",Nathan Lukes; Vladimir Guerrero Jr.; Ernie Clement; George Springer; Daulton Varsho; Kazuma Okamoto; Brandon Valenzuela; Andrés Giménez; Myles Straw
,Kendry Rojas,696070,MIN,L,CLE,MIN@CLE,missing_arsenal,official,5.88,26,2.9000000000000004,season_shrunk,,,,,,9,0,,0,,26,7.44827598453844,0.4655172490336525,10.241379478740354,4.984387889445346,high,"high_bb,high_xfip",3.0,9.719999999999999,2.777777777777778,,,142,200,,
,Zac Thornton,804267,NYM,L,MIL,NYM@MIL,missing_arsenal,official,4.766666666666666,19,2.111111111111111,season_shrunk,,,,,,9,0,,0,,19,2.5961540366065714,0.5192308073213142,7.788462109819713,3.9321703935793897,clear,,4.0,7.714285714285714,4.666666666666667,,,84,156,,
,Carson Palmquist,687223,WSH,L,COL,WSH@COL,missing_arsenal,official,4.133333333333333,18,2.0,season_shrunk,,,,,,9,0,,0,,18,1.8620690879867217,0.9310345439933608,11.17241452792033,3.460871841850967,clear,,3.3333333333333335,12.272727272727272,2.4444444444444446,,,79,100,,
,Kohl Drake,684442,AZ,L,ATH,ATH@AZ,missing_arsenal,official,5.5,23,2.5555555555555554,default,,,,,,9,0,,0,,23,,,,,clear,,,,,,,0,0,,
,Eduardo Rivera,700842,BOS,L,BAL,BAL@BOS,missing_arsenal,prior:2026-07-20,4.908333333333333,20,2.216666666666667,season_shrunk,,,,,,9,0,,0,,20,3.8571433826369397,0.9642858456592349,8.678572610933115,3.785340699193721,low,elev_bb,3.0,9.0,3.0,,,77,92,,
